ID,County,Year,Salaries
79,Leitrim,2003,"18,855"
80,Sligo,2003,"20,079"
81,Cavan,2003,"18,905"
82,Donegal,2003,"16,232"
83,Monaghan,2003,"18,810"
84,Galway,2003,"20,393"
85,Mayo,2003,"19,067"
86,Roscommon,2003,"19,306"
87,Clare,2003,"20,304"
88,Limerick,2003,"21,336"
89,Tipperary,2003,"20,177"
90,Carlow,2003,"18,747"
91,Kilkenny,2003,"19,136"
92,Wexford,2003,"19,489"
93,Waterford,2003,"21,543"
94,Cork,2003,"21,570"
95,Kerry,2003,"18,161"
96,Dublin,2003,"25,903"
97,Kildare,2003,"24,296"
98,Louth,2003,"22,272"
99,Meath,2003,"22,517"
100,Wicklow,2003,"22,840"
101,Laois,2003,"20,491"
102,Longford,2003,"20,077"
103,Offaly,2003,"20,020"
104,Westmeath,2003,"21,876"
105,Leitrim,2004,"20,993"
106,Sligo,2004,"21,794"
107,Cavan,2004,"20,862"
108,Donegal,2004,"17,465"
109,Monaghan,2004,"20,877"
110,Galway,2004,"22,141"
111,Mayo,2004,"20,349"
112,Roscommon,2004,"20,758"
113,Clare,2004,"21,422"
114,Limerick,2004,"22,394"
115,Tipperary,2004,"21,371"
116,Carlow,2004,"20,208"
117,Kilkenny,2004,"20,222"
118,Wexford,2004,"20,823"
119,Waterford,2004,"22,931"
120,Cork,2004,"23,103"
121,Kerry,2004,"19,301"
122,Dublin,2004,"27,331"
123,Kildare,2004,"26,040"
124,Louth,2004,"23,293"
125,Meath,2004,"24,697"
126,Wicklow,2004,"24,151"
127,Laois,2004,"22,243"
128,Longford,2004,"21,257"
129,Offaly,2004,"21,368"
130,Westmeath,2004,"22,460"
131,Leitrim,2005,"22,569"
132,Sligo,2005,"22,674"
133,Cavan,2005,"22,705"
134,Donegal,2005,"18,198"
135,Monaghan,2005,"22,324"
136,Galway,2005,"23,541"
137,Mayo,2005,"21,519"
138,Roscommon,2005,"22,825"
139,Clare,2005,"23,216"
140,Limerick,2005,"23,898"
141,Tipperary,2005,"22,895"
142,Carlow,2005,"21,687"
143,Kilkenny,2005,"21,705"
144,Wexford,2005,"22,539"
145,Waterford,2005,"23,831"
146,Cork,2005,"24,926"
147,Kerry,2005,"20,698"
148,Dublin,2005,"28,796"
149,Kildare,2005,"27,365"
150,Louth,2005,"24,768"
151,Meath,2005,"26,949"
152,Wicklow,2005,"24,945"
153,Laois,2005,"23,313"
154,Longford,2005,"22,671"
155,Offaly,2005,"22,725"
156,Westmeath,2005,"23,420"
157,Leitrim,2006,"23,500"
