id, County, Year, MeanPrice, SalesValue, SalesVolume,Type
129, Wexford,2014,109633.92,177.1,1601,Execution
130, Wicklow,2014,231482.5,337.1,1448,Execution
131, Carlow,2015,112477.08,63.6,581,Execution
132, Cavan,2015,87023.17,74.4,855,Execution
133, Clare,2015,101892.5,142.8,1403,Execution
134, Cork,2015,169764.42,1007.4,5898,Execution
135, Donegal,2015,97349.92,152.3,1574,Execution
136, Dublin,2015,318888.92,5400.8,16936,Execution
137, Galway,2015,145452.67,448.2,3080,Execution
138, Kerry,2015,117623.33,193.1,1634,Execution
139, Kildare,2015,239985.58,570.7,2417,Execution
140, Kilkenny,2015,142060.08,126.6,895,Execution
141, Laois,2015,112014.67,79.4,706,Execution
142, Leitrim,2015,86996.5,42.2,487,Execution
143, Limerick,2015,119414.42,271.8,2244,Execution
144, Longford,2015,69106.5,34.7,508,Execution
145, Louth,2015,125093.67,181.4,1444,Execution
146, Mayo,2015,100956.83,143.9,1437,Execution
147, Meath,2015,190671.08,336.2,1748,Execution
148, Monaghan,2015,100052,39.3,389,Execution
149, Offaly,2015,97535.75,63.3,643,Execution
150, Roscommon,2015,76770.75,56,737,Execution
151, Sligo,2015,108067.25,79.7,744,Execution
152, Tipperary,2015,103488.75,147.8,1408,Execution
153, Waterford,2015,114383.33,162,1403,Execution
154, Westmeath,2015,102032.75,107.8,1070,Execution
155, Wexford,2015,119177.42,215.7,1810,Execution
156, Wicklow,2015,258557,398.3,1535,Execution
157, Carlow,2016,125643.5,69.7,554,Execution
158, Cavan,2016,96199.5,78.8,822,Execution
159, Clare,2016,127926.33,194.1,1478,Execution
160, Cork,2016,185428.17,1144.6,6159,Execution
161, Donegal,2016,97434.67,156,1604,Execution
162, Dublin,2016,354800.33,6343.2,17911,Execution
163, Galway,2016,158842.25,475,2994,Execution
164, Kerry,2016,127091,216,1689,Execution
165, Kildare,2016,241540.92,601,2477,Execution
166, Kilkenny,2016,152248,123,802,Execution
167, Laois,2016,118284.42,103.3,862,Execution
168, Leitrim,2016,83072.5,41.1,495,Execution
169, Limerick,2016,134398.33,275.9,2061,Execution
170, Longford,2016,80357.67,37.6,470,Execution
171, Louth,2016,147553.33,204.7,1369,Execution
172, Mayo,2016,101569.75,133.2,1302,Execution
173, Meath,2016,206100.42,386.9,1856,Execution
174, Monaghan,2016,110581.17,45.5,418,Execution
175, Offaly,2016,101157.83,68.7,682,Execution
176, Roscommon,2016,75209.42,59.4,781,Execution
177, Sligo,2016,99066.58,83.1,847,Execution
178, Tipperary,2016,107941,160.2,1481,Execution
179, Waterford,2016,128159,203.7,1597,Execution
180, Westmeath,2016,115212,126.1,1090,Execution
181, Wexford,2016,131709.58,228.5,1730,Execution
182, Wicklow,2016,287441.83,444,1549,Execution
183, Carlow,2017,130333.92,76.1,588,Execution
184, Cavan,2017,107979.08,98.9,908,Execution
185, Clare,2017,153966.75,209.4,1407,Execution
186, Cork,2017,198712.08,1334.9,6689,Execution
187, Donegal,2017,100740.25,153.6,1521,Execution
188, Dublin,2017,380032,7553.1,19846,Execution
189, Galway,2017,181869,555.1,3028,Execution
190, Kerry,2017,131918.58,243.8,1832,Execution
191, Kildare,2017,248074.92,756.6,3023,Execution
192, Kilkenny,2017,156841.17,134.7,855,Execution
193, Laois,2017,136980.08,116.6,858,Execution
194, Leitrim,2017,91296.58,47.7,522,Execution
195, Limerick,2017,149875.67,335.4,2223,Execution
196, Longford,2017,84135,39.1,462,Execution
197, Louth,2017,170555.08,257.1,1498,Execution
198, Mayo,2017,112087.83,152.9,1354,Execution
199, Meath,2017,233693.08,590.8,2498,Execution
200, Monaghan,2017,118337.75,58.5,492,Execution
201, Offaly,2017,124549.25,93.3,739,Execution
202, Roscommon,2017,94782.17,74.7,784,Execution
203, Sligo,2017,121230.92,102.9,842,Execution
204, Tipperary,2017,113467.5,190.3,1671,Execution
205, Waterford,2017,141006.25,214.1,1519,Execution
206, Westmeath,2017,127989.67,149.7,1203,Execution
207, Wexford,2017,144724.17,284.9,1956,Execution
208, Wicklow,2017,309862,546.7,1763,Execution
209, Carlow,2018,146975.75,113.3,771,Execution
210, Cavan,2018,123879.25,108.6,868,Execution
211, Clare,2018,156242.5,208,1332,Execution
212, Cork,2018,223691.33,1510.5,6687,Execution
213, Donegal,2018,99492.17,170.6,1702,Execution
214, Dublin,2018,393059.92,8348.1,21246,Execution
215, Galway,2018,196850.42,586.9,2955,Execution
216, Kerry,2018,137928.17,269.1,1949,Execution
217, Kildare,2018,272088.58,887.2,3248,Execution
218, Kilkenny,2018,179429.75,171.8,943,Execution
219, Laois,2018,147296.25,137.7,934,Execution
220, Leitrim,2018,103249.17,52.5,510,Execution
221, Limerick,2018,171890.42,416.4,2420,Execution
222, Longford,2018,90134.42,47.6,524,Execution
223, Louth,2018,185708.33,324.7,1734,Execution
224, Mayo,2018,114755.5,160.5,1400,Execution
225, Meath,2018,251128.08,701.8,2773,Execution
226, Monaghan,2018,121243.33,59.3,495,Execution
227, Offaly,2018,127578.58,96,749,Execution
228, Roscommon,2018,108074.42,95.8,897,Execution
229, Sligo,2018,125890.33,124.2,988,Execution
230, Tipperary,2018,123441.33,217.2,1754,Execution
231, Waterford,2018,158079.83,269.5,1683,Execution
232, Westmeath,2018,153794.58,174.9,1138,Execution
233, Wexford,2018,159536.25,308.7,1924,Execution
234, Wicklow,2018,308475.83,532.2,1722,Execution
235, Carlow,2019,158929.5,99.9,631.5,Execution
236, Cavan,2019,125777.12,98.25,772.5,Execution
237, Clare,2019,154580.12,185.85,1198.5,Execution
238, Cork,2019,235656.5,1489.05,6297,Execution
239, Donegal,2019,109415.88,153,1393.5,Execution
240, Dublin,2019,387033.38,7258.05,18747,Execution
241, Galway,2019,212202.5,549.6,2589,Execution
242, Kerry,2019,148116.62,224.4,1522.5,Execution
243, Kildare,2019,276291.62,838.8,3025.5,Execution
244, Kilkenny,2019,179430.88,162,897,Execution
245, Laois,2019,159375.75,137.85,867,Execution
